약국명,지역,주소,개설일자,경도,위도
한길약국,관악구,서울특별시 관악구 남부순환로 1739 (봉천동),20020514,126.9434216,37.4824658
신신메디칼약국,관악구,서울특별시 관악구 쑥고개로 59 (봉천동),20010703,126.9430887,37.4797462
고명약국,서초구,"서울특별시 서초구 바우뫼로 23 101,102호 (우면동, 선일상가)",20011201,127.0252675,37.4704214
영진약국,강북구,서울특별시 강북구 한천로160길 22 (수유동),19951025,127.0209281,37.6457105
맑은약국,창원마산합포구,경상남도 창원시 마산합포구 월영동로 1 (해운동),20110712,128.5627340,35.1804378
신행복약국,제주시,"제주특별자치도 제주시 노형8길 2 (노형동, 지하1층)",20160621,126.4773462,33.4843263
내유녹십자약국,고양덕양구,"경기도 고양시 덕양구 유산길 3 (내유동, 지하1층)",20060327,126.8436584,37.7254866
시화제일약국,시흥시,경기도 시흥시 옥구상가3길 7-3 102호 (정왕동),20110726,126.7242088,37.3529408
신통한약국,남양주시,경기도 남양주시 진접읍 내각1로73번길 3 1층,20060810,127.1647442,37.7046238
명진당약국,수원팔달구,"경기도 수원시 팔달구 덕영대로697번길 16 상가동 103,104호 (화서동, 화서4단지주공아파트내)",20020805,126.9911491,37.2845989
미래약국,인천미추홀구,인천광역시 미추홀구 인주대로 186 (용현동),20050228,126.6575909,37.4552094
서광약국,광주북구,광주광역시 북구 면앙로170번길 2 (두암동),20000728,126.9298049,35.1758164
유성약국,대구북구,대구광역시 북구 동북로 311 (복현동),19890124,128.6239685,35.8921208
엄마손약국,칠곡군,경상북도 칠곡군 북삼읍 금오대로 262 (북삼읍),20090302,128.3467520,36.0687931
푸른솔약국,부천시,"경기도 부천시 상동로 113 106호 (상동, 승재프라자)",20021126,126.7530188,37.5075236
인화약국,대구북구,대구광역시 북구  매전로 14 1층 (매천동),19750807,128.5435268,35.9084127
임약국,성남분당구,"경기도 성남시 분당구 성남대로 170 301호 (금곡동, 한국프라자)",20060501,127.1095077,37.3511826
온누리성주약국,대구달성군,대구광역시 달성군 다사읍 달구벌대로 800-2 (다사읍),19980728,128.4587238,35.8621191
공단시장약국,인천미추홀구,인천광역시 미추홀구 길파로 16 (주안동),19870528,126.6796793,37.4671441
대영약국,청주청원구,충청북도 청주시 청원구 상당로 301-1 (내덕동),19790628,127.4882849,36.6553244
온누리한솔약국,제주시,제주특별자치도 제주시 일주동로 181 (화북일동),20000829,126.5648368,33.5190147
메디팜제주약국,제주시,"제주특별자치도 제주시 성신로 13-8 (연동,이화아파트상가 102호, 103호)",20011019,126.4848356,33.4909061
라온약국,원주시,강원도 원주시 능라동길 35 1층 (무실동),20190328,127.9285578,37.3337993
종로약국,인천동구,"인천광역시 동구 송림로 96 1층 (송림동, 송림메디칼)",20120921,126.6453334,37.4757776
한독약국,대구서구,대구광역시 서구 달구벌대로 1733 (내당동),19820519,128.5547397,35.8572090
신세계열린약국,포항북구,경상북도 포항시 북구 흥해읍 한동로 36 (흥해읍),20010502,129.3454193,36.1105908
늘푸른약국,김포시,경기도 김포시 김포한강2로 232 (장기동),20120413,126.6607144,37.6456011
