지역, 학교명, 1학년 학급수, 1학년 학생수, 2학년 학급수, 2학년 학생수, 3학년 학급수, 3학년 학생수
인천광역시 서구,인천디자인고등학교,10,249,10,243,10,268
인천광역시 연수구,박문여자고등학교,9,263,9,229,9,236
인천광역시 연수구,인천생활과학고등학교,8,201,8,212,8,230
인천광역시 연수구,인천여자고등학교,10,285,10,259,11,305
인천광역시 연수구,인천뷰티예술고등학교,8,192,8,176,8,214
인천광역시 중구,인천여자상업고등학교,12,275,12,285,12,331
인천광역시 남동구,인천예술고등학교,5,159,5,158,5,156
인천광역시 미추홀구,인천전자마이스터고등학교,8,162,8,153,8,153
인천광역시 중구,인천정보산업고등학교,12,285,12,250,12,282
인천광역시 중구,인천중앙여자상업고등학교,8,192,8,202,8,226
인천광역시 서구,인천체육고등학교,3,97,3,91,3,103
인천광역시 연수구,인천해양과학고등학교,10,213,6,122,10,159
인천광역시 부평구,인평자동차고등학교,6,145,6,142,6,163
인천광역시 남구,인하대학교사범대학부속고등학교,9,205,9,213,9,216
인천광역시 미추홀구,인항고등학교,8,177,8,184,9,219
인천광역시 남구,인화여자고등학교,8,193,8,178,8,184
인천광역시 남구,정석항공과학고등학교,8,194,8,196,8,226
인천광역시 중구,제물포고등학교,8,149,8,167,8,163
인천광역시 부평구,제일고등학교,8,176,8,154,9,187
인천광역시 연수구,청학공업고등학교,10,169,9,169,10,198
인천광역시 미추홀구,학익고등학교,8,183,8,180,8,196
인천광역시 미추홀구,학익여자고등학교,12,315,12,335,12,370
인천광역시 서구,한국주얼리고등학교,4,97,4,97,4,111
인천광역시 계양구,인천효성고등학교,8,215,8,196,9,259
인천광역시 서구,가림고등학교,11,295,11,278,11,327
인천광역시 계양구,작전여자고등학교,8,204,8,193,9,242
인천광역시 계양구,안남고등학교,8,198,8,195,9,240
인천광역시 계양구,작전고등학교,8,198,8,207,9,253
인천광역시 연수구,옥련여자고등학교,9,263,9,244,11,310
인천광역시 서구,가좌고등학교,10,281,10,251,12,348
인천광역시 계양구,인천예일고등학교,9,246,9,237,9,269
인천광역시 부평구,부개고등학교,9,220,8,187,9,222
인천광역시 부평구,인천산곡고등학교,8,195,8,186,9,220
인천광역시 부평구,인천부흥고등학교,8,194,8,188,9,210
인천광역시 남동구,도림고등학교,8,221,8,173,8,217
인천광역시 서구,인천원당고등학교,10,281,10,276,10,302
인천광역시 연수구,신송고등학교,10,265,10,257,11,308
인천광역시 부평구,인천영선고등학교,9,239,9,226,9,219
인천광역시 서구,인천마전고등학교,8,198,8,174,8,206
인천광역시 남동구,인천논현고등학교,9,264,8,217,9,267
